 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
WEHIA 2018,23rd Annual Workshop on Economic Science with Heterogeneous Interacting Agents,https://easychair.org/cfp/WEHIA2018,"Tokyo, Japan","May 31, 2018","Jun 29, 2018","['agent based economic simulation', 'financial and social networks', 'econophysics']",Economics
APEF 2018,2018 Asia-Pacific Conference on Economics & Finance,https://easychair.org/cfp/APEF2018,"Singapore, Singapore","May 19, 2018","Jul 26, 2018","['economics', 'finance', 'business', 'accounting']",Economics
TTRAEurope2018,TTRA Europe 2018,https://easychair.org/cfp/TTRAEurope2018,"Ljubljana, Slovenia","Jan 20, 2018","Apr 24, 2018","['sustainable development and policies', 'environmental responsibility and practices', 'entrepreneurship and sustainability', 'sustainable innovations']",Economics
TSMO 2018,"Workshop on Two-sided Marketplace Optimization: Search, Pricing, Matching & Growth",https://easychair.org/cfp/TSMO2018,"Los Angeles, CA, United States","Nov 28, 2017",,"['recommendation systems', 'search', 'learning to rank', 'dynamic pricing']",Economics
WEIS 2018,Workshop on the Economics of Information Security,https://easychair.org/cfp/WEIS2018,"Innsbruck, Austria","Feb 18, 2018","Jun 18, 2018","['security', 'economics', 'privacy', 'blockchain']",Economics
ECE 2018,Enterprise and Competitive Environment,https://easychair.org/cfp/ECE2018,"Brno, Czech Republic","Feb 26, 2018","Mar 22, 2018",[],Economics
SIFIF'2018,5th Sfax International Forum on Islamic Finance,https://easychair.org/cfp/SIFIF2018,"Sfax, Tunisia","Mar 15, 2018","Apr 07, 2018","['islamic finance', 'fiqh and maqasid al shariah', 'islamic economics', 'solidarity economy']",Economics
IACEB 2018,International Academic Conference on Economics and Business,https://easychair.org/cfp/IACEB-2018,"Beirut, Lebanon","Nov 30, 2017","May 03, 2018",['business & economics'],Economics
ISS 2018,The 17th Internatilnal Schumpeter Society Conference Seoul,https://easychair.org/cfp/ISS2018,"Seoul, South Korea","Feb 28, 2018","Jul 02, 2018",[],Economics
SSE2018,Southwestern Society of Economists (SSE) Annual Meeting,https://easychair.org/cfp/SSE2018,"Albuquerque, NM, United States","Nov 15, 2017","Mar 07, 2018","['microeconomic issues', 'government policy and macroeconomic issues', 'banking and finance', 'industry studies and firm performance']",Economics
IEEE CIM SI CIFEr 2018,IEEE Computational Intelligence Magazine - Special Issue on Computational Intelligence in Finance and Economics,https://easychair.org/cfp/SI_CIFE2018,,"Dec 31, 2017",,"['computational intelligence', 'machine learning', 'predictive analytics', 'financial engineering']",Economics
CEIPEL 2018,Congresso sobre Empreendedorismo e Inovação nos Países de Expressão Latina,https://easychair.org/cfp/CEIPEL2018_P,"Lisboa, Portugal","Apr 30, 2018","Jul 03, 2018","[u'inova\xe7\xe3o', 'empreendedorismo']",Economics
AARES 2018AC,AARES 2018 Annual Conference,https://easychair.org/cfp/aares2018ac,"Adelaide, Australia","Oct 31, 2017","Feb 06, 2018",[],Economics
IATBR2018,15th International Conference on Travel Behavior Research,https://easychair.org/cfp/IATBR2018CALL,"Santa Barbara, CA, United States","Nov 06, 2017","Jul 15, 2018","['human interaction', 'pattern recognition', 'modeling and simulation', 'psychometrics']",Economics
12th ICIEF,The 12th International Conference For Islamic Economics and Finance,https://easychair.org/cfp/12ICIEF,"Makkah, Saudi Arabia","Oct 31, 2017","Mar 25, 2018","['law and regulation and governance', 'islamic finance with real economy', 'traditional islamic institutions', 'innovation and entrepreneurship']",Economics
SER4SC 2018,Seismic and Energy Renovation for Sustainable Cities,https://easychair.org/cfp/SER2018,"Catania, Italy","Oct 15, 2017","Feb 01, 2018",[],Economics
PASSEW2018,"Persidangan Antarabangsa Sains Sosial, Ekonomi dan Warisan",https://easychair.org/cfp/passew2018,"Kota Kinabalu, Malaysia","Jul 31, 2017","Mar 27, 2018","['social sciences', 'economics', 'heritage', 'art']",Economics
