 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
HelsIT 2018,Sekundærbruk av helsedata - Muligheter og utfordringer,https://easychair.org/cfp/HelsIT2018,"Trondheim, Norway","Feb 19, 2018","Mar 08, 2018","['health informatics', 'clinical decision support', 'big data', 'data mining']",Health Sciences
Ophthalmology 2018,17th International Conference on Clinical and Experimental Ophthalmology,https://easychair.org/cfp/Ophthalmology2018,"Moscow, Russia","Sep 15, 2018","Oct 01, 2018","['retina', 'glaucoma', 'cornea', 'pediatric ophthalmology']",Health Sciences
NGCRS2018,3rd NCI Global Cancer Research Symposium: Spotlight on Global Cancer Research,https://easychair.org/cfp/NGCRS2018,"Rockville, MD, United States","Dec 15, 2017","Feb 01, 2018",['cancer research'],Health Sciences
ICBEM & RGC 2018,11th International Conference on Bioelectromagnetism & 13th Russian-German Conference on Biomedical Engineering,https://easychair.org/cfp/icbem2018,"Aachen, Germany","Feb 01, 2018","May 23, 2018","['electrical impedance tomography', 'biomedical engineering', 'biomedical imaging']",Health Sciences
WSM 2018,2nd Wroclaw Scientific Meetings,https://easychair.org/cfp/WSM2018,"Wroclaw, Poland","Jan 31, 2018","Mar 02, 2018","['biology', 'biomedical engineering', 'medical biochemistry', 'pharmacy']",Health Sciences
MEHI-2018,2018 International Conference on Medical Engineering and Health Informatics,https://easychair.org/cfp/MEHI2018,"Kunming, China","Jan 15, 2018","May 20, 2018","['artificial organs', 'automated patient monitoring', 'biomaterials design', 'blood chemistry sensors']",Health Sciences
ESMC 2018,"European Social Marketing Conference, Antwerp, Belgium 2018",https://easychair.org/cfp/ESMC2018,"Antwerp, Belgium","May 31, 2018","Sep 05, 2018","['social marketing', 'behaviour change', 'marketing', 'stakeholder engagement']",Health Sciences
GISEH 2018,9ème Conférence francophone en Gestion et Ingénierie des Systèmes Hospitaliers,https://easychair.org/cfp/GISEH2018,"Genève, Switzerland","Apr 01, 2018","Aug 27, 2018","['quality management', 'logistics', 'performance', 'strategy']",Health Sciences
COSM 2018,Canadian Obesity Student Meeting,https://easychair.org/cfp/COSM2018,"London, Canada","Feb 05, 2018","Jun 20, 2018",['health policy'],Health Sciences
CAOS 2018,The 18th Annual Meeting of the International Society for Computer Assisted Orthopaedic Surgery,https://easychair.org/cfp/CAOS2018,"Beijing, China","Jan 31, 2018","Jun 06, 2018",[],Health Sciences
2018 MIHD,2018 AES International Conference on Music-Induced Hearing Disorders,https://easychair.org/cfp/2018mihd,"Chicago, IL, United States","Feb 15, 2018","Jun 20, 2018",['hearing loss'],Health Sciences
ICFSN 2018,2018 5th International Conference on Food Security and Nutrition,https://easychair.org/cfp/ICFSN2018,"Copenhagen, Denmark","Jan 15, 2018","Apr 09, 2018","['nutrition', 'food processing', 'food chemistry', 'diet and cognition']",Health Sciences
ACSS 2018,Asia-Singapore Conference on Sport Science,https://easychair.org/cfp/ACSS2018,"Singapore, Singapore","May 09, 2018","Jul 17, 2018","['sports', 'physiology', 'sport science', 'top athletes management']",Health Sciences
W3PHIAI-2018,2018 Workshop on Health Intelligence (W3PHIAI 2018),https://easychair.org/cfp/W3PHIAI2018,"New Orleans,, LA, United States","Oct 27, 2017","Feb 02, 2018","['social media analytics', 'knowledge representation and extraction', 'predictive modeling and decision support', 'patient focused workflows']",Health Sciences
medxed-18,Stanford Medicine X | ED 2018,https://easychair.org/cfp/medxed-18,"Stanford, CA, United States","Dec 12, 2017","Apr 28, 2018","['medical education', 'educational technologies', 'patient centered outcomes research', 'patient partnership in medical education']",Health Sciences
PCN 2018,1st Panhellenic Conference on Neuropsychology,https://easychair.org/cfp/1st-PanhellenicConference_onNeuropsychology,"Athens, Greece","Feb 19, 2018","Apr 27, 2018","['neuropsychology', 'mental functions']",Health Sciences
CIAALS-2018,International Workshop on Computational Intelligence in Ambient Assisted Living Systems,https://easychair.org/cfp/ciaals2018,"Porto, Portugal","Dec 31, 2017","May 08, 2018","['computational intelligence', 'assisted living', 'e health', 'health informatics']",Health Sciences
MUSIC-CI-2018,2nd Symposium on Music and Cochlear Implants,https://easychair.org/cfp/MUSIC-CI-2018,"Montreal, Canada","Apr 01, 2018","Aug 20, 2018","['music', 'cochlear implants']",Health Sciences
FIM2018,Football is Medicine 2018,https://easychair.org/cfp/FIM2018,"Oeiras - Lisboa, Portugal","Dec 10, 2017","Jan 25, 2018","['physical activity', 'exercise', 'health', 'sports medicine']",Health Sciences
IWBBIO2018,International Work-Conference on Bioinformatics and Biomedical Engineering,https://easychair.org/cfp/IWBBIO2018,"Granada, Spain","Jan 15, 2018","Apr 25, 2018","['biomedical engineering', 'biomedicine', 'computational biology', 'high performance in bioinformatic']",Health Sciences
MindCare 2018,7th EAI International Symposium on Pervasive Computing Paradigms for Mental Health,https://easychair.org/cfp/MindCare2018,"Boston, MA, United States","Oct 31, 2017","Jan 09, 2018","['mental health', 'wellbeing']",Health Sciences
ATSIP'2018,International Conference on Advanced Technologies for Signal& Image Processing,https://easychair.org/cfp/ATSIP2018,"Sousse, Tunisia","Dec 15, 2017","Mar 22, 2018","['speech and audio processing', 'image and video processing', 'remote sensing and assimilation', 'modeling in signals and images']",Health Sciences
SL18-IBK,Smarter Lives 2018 - Innsbruck,https://easychair.org/cfp/SL18-IBK,"Innsbruck, Austria","Jan 11, 2018","Feb 20, 2018","['ageing society', 'active and assisted living', 'smart technologies', 'technology and innovations']",Health Sciences
SIPCON2018,Third Annual Conference of Society of Indian Physiotherapists,https://easychair.org/cfp/sipcon2018,"Kolkata, India","Oct 30, 2017","Jan 26, 2018","['physical therapy', 'physiotherapy']",Health Sciences
SocialTech-2018,"The 2nd International Conference on Healthcare, SDGs and Social Business",https://easychair.org/cfp/socialTech2018,"Fukuoka, Japan","Jan 31, 2018","Apr 26, 2018","['sdgs and healthcare', 'technology and healthcare', 'social business and healthcare', 'remote healthcare']",Health Sciences
GNB 2018,Gruppo Nazionale di Bioingegneria 2018,https://easychair.org/cfp/GNB2018,"MILANO, Italy","Feb 12, 2018","Jun 25, 2018","['biomedical engineering', 'bioengineering']",Health Sciences
UAE-PPF-2018,UAE Public Policy Forum 2018,https://easychair.org/cfp/UAEPPF2018,"Dubai, UAE","Oct 20, 2017","Jan 15, 2018","['facilitating public private partnerships', 'performance and accountability of ppps', 'technology and innovation in ppps', 'policy development for ppps']",Health Sciences
ICASH 2,2nd International Conference on Applied Science and Health,https://easychair.org/cfp/icash2,"Nakhon Pathom, Thailand","Aug 25, 2017","Sep 29, 2017","['public health', 'nursing', 'applied science', 'nutrition']",Health Sciences
BIOSTEC 2018,11th International Joint Conference on Biomedical Engineering Systems and Technologies,https://easychair.org/cfp/BIOSTEC_2018,"Madeira, Portugal","Jul 31, 2017","Jan 19, 2018","['signal processing', 'bioinformatics', 'biotechnology', 'biomedical engineering']",Health Sciences
