Conference Name,Conference Series,Link,Categories,When,Where,Submission Deadline,Notification Due,Final Version Due,Abstract Registration Due
 Lingua Francae in the Nordic Countries  2007 : Lingua Francae in the Nordic Countries: Workshop,N/A,http://www.etmu.fi/etmudays/eng/2nd_call_eng.html,[],"Oct 26, 2007 - Oct 27, 2007","Åbo Akademi University, Finland","Sep 10, 2007",,,
 MALC  2007 : Mid America Linguistics Conference,N/A,http://www.linguistics.ku.edu,['linguistics'],"Oct 26, 2007 - Oct 28, 2007","Lawrence, Kansas, USA","Aug 1, 2007",,,
 MESS  2007 : 6th Medieval English Studies Symposium,N/A,http://ifa.amu.edu.pl/~mess/,"['linguistics', 'english']","Nov 24, 2007 - Nov 25, 2007","Poznan, Poland","Jul 31, 2007",,,
 SIP  2007 : Semantics In Paris 2: Semantics Beyond Set Theory,N/A,http://semantique.free.fr/sip,[],"Oct 25, 2007 - Oct 26, 2007","Paris, France","Sep 1, 2007",,,
 FreeLing  2007 : University of Sydney Free Linguistics Conference,N/A,http://conferences.arts.usyd.edu.au/index.php?cf=14,[],"Oct 6, 2007 - Oct 7, 2007","Sydney, NSW, Australia","Aug 31, 2007",,,
 Portsmouth Translation Conference  2007 : 7th Portsmouth Translation Conference,N/A,http://www.port.ac.uk/translationconference,[],"Nov 10, 2007 - Nov 10, 2007","Portsmouth, United Kingdom","Jun 30, 2007",,,
 MLS  2007 : Annual Meeting of the Michigan Linguistic Society,N/A,http://www.emich.edu/linguistics/mls07,[],"Nov 10, 2007 - Nov 10, 2007","Ypsilanti, Michigan, USA","Sep 10, 2007",,,
" Argument Structure  2007 : Case, Word Order and Prominence in Argument Structure",N/A,N/A,[],"Nov 5, 2007 - Nov 6, 2007","Nijmegen, Netherlands","Aug 31, 2007",,,
 CoPaLaSt  2007 : Computational Paradigms and Language Structure,N/A,N/A,['linguistics'],"Nov 30, 2007 - Dec 1, 2007","Berlin, Germany","Oct 1, 2007",,,
 Conference on Language Planning  2007 : Conference on Language Planning,N/A,http://www.hia.no/hum/nordisk/norm/,[],"Nov 1, 2007 - Nov 3, 2007","Kristiansand, Norway","Sep 1, 2007",,,
 OntoLex  2007 : From Text to Knowledge: The Lexicon/Ontology Interface,N/A,http://olp.dfki.de/OntoLex07/,['linguistics'],"Nov 11, 2007 - Nov 11, 2007","Busan, Korea, South","Aug 1, 2007",,,
 Perspectives on Underspecification  2007 : Perspectives on Underspecification,N/A,http://www.uni-stuttgart.de/linguistik/sfb732/index.shtml,['linguistics'],"Nov 2, 2007 - Nov 3, 2007","Stuttgart, Germany","Aug 5, 2007",,,
page 195,N/A,N/A,['linguistics'],"Nov 23, 2007 - Nov 24, 2007","Lille - Nord-Pas-de-Calais, France","Jul 31, 2007",,,
 AFinLA  2007 : Language and Globalization AFinLA 2007,N/A,http://rosetta.helsinki.fi/AFinla.html,[],"Nov 9, 2007 - Nov 10, 2007","Kouvola, Finland","Sep 8, 2007",,,
 GDP III  2007 : Games and Decisions in Pragmatics III,N/A,http://www.zas.gwz-berlin.de/events/gdpIII/index.html,[],"Nov 23, 2007 - Nov 24, 2007","Berlin, Germany","Sep 21, 2007",,,
 The Word as a New Technology  2007 : Unplugged: The Word as a New Technology,N/A,http://www.cfilologia.unican.es/,['linguistics'],"Nov 23, 2007 - Nov 24, 2007","Santander, Spain","Oct 1, 2007",,,
 TLS  2007 : The New Empiricism in Linguistics,N/A,http://uts.cc.utexas.edu/~tls/2007tls/,['linguistics'],"Nov 9, 2007 - Nov 11, 2007","Austin, TX, USA","Aug 15, 2007",,,
 UTASCILT  2007 : The 15th Annual University of Texas at Arlington Student,N/A,http://ling.uta.edu/~lingua,[],"Nov 1, 2007 - Nov 2, 2007","Arlington, Texas, USA","Sep 14, 2007",,,
 Nominal and Verbal Plurality  2007 : Workshop on Nominal and Verbal Plurality,N/A,http://www.umr7023.cnrs.fr/article.php3?id_article=295,['linguistics'],"Nov 9, 2007 - Nov 10, 2007","Paris, France","Aug 20, 2007",,,
 HCLSC  2007 : 1st HCLS Conference on Becoming a World Language,N/A,http://www.hallidaycentre.cityu.edu.hk/HCLS-C1-2007,['linguistics'],"Dec 5, 2007 - Dec 7, 2007","Hong Kong, Hong Kong","Aug 25, 2007",,,
 AFCAL  2007 : Acquisition of Functional Categories in Asian Languages,N/A,http://www.arts.cuhk.edu.hk/~glow,[],"Dec 26, 2007 - Dec 26, 2007","Hong Kong, Hong Kong","Sep 22, 2007",,,
 XPRAG  2007 : Experimental Pragmatics 2007,N/A,http://www.zas.gwz-berlin.de/xprag,[],"Dec 13, 2007 - Dec 16, 2007","Berlin, Germany","Aug 31, 2007",,,
page 204,N/A,N/A,['linguistics'],"Dec 10, 2007 - Dec 11, 2007","Warsaw, Poland","Aug 10, 2007",,,
 ICPSJ  2007 : International Conference of Pragmatics Society of Japan,N/A,http://wwwsoc.nii.ac.jp/psj4/,"['linguistics', 'pragmatics']","Dec 8, 2007 - Dec 9, 2007","Hirakata, Osaka, Japan","Aug 20, 2007",,,
" IALUSP  2007 : Identity, Authenticity, Locality, Urbanity and Speech",N/A,http://www.inst.at/kctos/sektionen_n-s/sen_karabag.htm,"['linguistics', 'speech']","Dec 6, 2007 - Dec 9, 2007","Vienna, Austria","Aug 15, 2007",,,
 Going Romance 2007  2007 : Going Romance 2007,N/A,http://www.hum.uva.nl/goingromance2007,[],"Dec 6, 2007 - Dec 8, 2007","Amsterdam, Netherlands","Sep 10, 2007",,,
 SNLP  2007 : International Symposium on Natural Language Processing,N/A,http://naist.cpe.ku.ac.th/snlp2007/,['linguistics'],"Dec 13, 2007 - Dec 15, 2007","Pattaya, Thailand","Jul 31, 2007",,,
 TEAL  2007 : International Workshop on Theoretical East Asian Linguistics,N/A,http://www.teal.cbs.polyu.edu.hk/,[],"Dec 30, 2007 - Dec 30, 2007","Hong Kong, Hong Kong","Sep 22, 2007",,,
" La langue, facteur de discrimination  2007 : La langue, facteur de discrimination",N/A,N/A,[],"Dec 10, 2007 - Dec 10, 2007","Montréal (Québec), Canada","Sep 14, 2007",,,
 LDLT  2007 : Language Documentation and Linguistic Theory,N/A,N/A,['linguistics'],"Dec 7, 2007 - Dec 8, 2007","London, United Kingdom","Aug 17, 2007",,,
 LBM  2007 : Languages in Biology and Medicine,N/A,http://lbm2007.biopathway.org/,[],"Dec 6, 2007 - Dec 7, 2007","Singapore, Singapore","Sep 9, 2007",,,
 SOLE  2007 : Seventh Conference on Language Engineering,N/A,http://www.esole.org,['linguistics'],"Dec 5, 2007 - Dec 6, 2007","Cairo, Egypt","Aug 4, 2007",,,
 PAAL  2007 : Pan-Pacific Association of Applied Linguistics,N/A,http://paaljapan.org,[],"Dec 19, 2007 - Dec 21, 2007","Pattaya, Thailand","Aug 31, 2007",,,
 Sixth Glow in Asia  2007 : Sixth Glow in Asia,N/A,http://www.arts.cuhk.edu.hk/~glow,[],"Dec 27, 2007 - Dec 29, 2007","Hong Kong, Hong Kong","Sep 22, 2007",,,
 ELLSSAC  2007 : Structures Across Cultures - ELLSSAC,N/A,N/A,['linguistics'],"Dec 7, 2007 - Dec 9, 2007","Belgrade, Serbia","Aug 15, 2007",,,
 SYNLAC Workshop 2007: Language & Culture  2007 : SYNLAC Workshop 2007: Language & Culture,N/A,N/A,[],"Dec 6, 2007 - Dec 7, 2007","Sydney, Australia","Sep 28, 2007",,,
 AC  2007 : Sixteenth Amsterdam Colloquium,N/A,http://www.illc.uva.nl/AC2007/,[],"Dec 17, 2007 - Dec 19, 2007","Amsterdam, Netherlands","Sep 1, 2007",,,
 ESEA  2007 : The 12th English in South-East Asia Conference,N/A,http://arts.kmutt.ac.th/sola/esea,"['linguistics', 'english']","Dec 12, 2007 - Dec 14, 2007","Bangkok, Thailand","Jul 31, 2007",,,
 NZDC  2007 : The New Zealand Discourse Conference,N/A,N/A,[],"Dec 6, 2007 - Dec 8, 2007","Auckland, New Zealand","Aug 31, 2007",,,
 TLT  2007 : Workshop on Treebanks and Linguistic Theories,N/A,http://tlt07.uib.no,[],"Dec 7, 2007 - Dec 8, 2007","Bergen, Norway","Sep 1, 2007",,,
 Uninterpretablity  2007 : Workshop on Uninterpretablity,N/A,http://www.illc.uva.nl/AC2007/,[],"Dec 17, 2007 - Dec 19, 2007","Amsterdam, Netherlands","Sep 1, 2007",,,
 ICCLING  2008 : Intercultural Communication and Linguistics,N/A,http://www.sun.ac.za/iccling,['linguistics'],"Jan 14, 2008 - Jan 23, 2008","Stellenbosch, South Africa","Jul 30, 2007",,,
 AAL  2008 : Acquisition of African Languages 2008,N/A,http://jeanerz.com/AAL2008,"['linguistics', 'cognitive science']","Jan 21, 2008 - Jan 22, 2008","Stellenbosch, South Africa","Jul 30, 2007",,,
 LSA  2008 : Annual Meeting of the Linguistic Society of America,N/A,http://www.lsadc.org,['linguistics'],"Jan 3, 2008 - Jan 6, 2008","Chicago, IL, USA","Aug 1, 2007",,,
 ConSOLE XVI  2008 : 16th Conference of the Student Organization of Linguistics,N/A,http://console.linguist.jussieu.fr/,[],"Jan 10, 2008 - Jan 12, 2008","Paris, France","Sep 15, 2007",,,
 Lexicography and Computers  2008 : Lexicography and Computers: Current Issues and Future,N/A,http://www.atilf.fr,[],"Jan 23, 2008 - Jan 25, 2008","Nancy, France","Sep 1, 2007",,,
 LingEvid  2008 : Linguistic Evidence 2008,N/A,http://www.sfb441.uni-tuebingen.de/LingEvid2008/,['linguistics'],"Jan 31, 2008 - Feb 2, 2008","Tübingen, Germany","Sep 30, 2007",,,
 Manovikas (GEMM)  2008 : Manovikas (GEMM),N/A,N/A,[],"Jan 16, 2008 - Jan 17, 2008","Berhampur, Orissa, India","Sep 1, 2007",,,
 NAAHoLS  2008 : North American Association for the History of the Language,N/A,N/A,[],"Jan 3, 2008 - Jan 6, 2008","Chicago, Illinois, USA","Sep 1, 2007",,,
 OCP  2008 : Old World Conference in Phonology 5,N/A,http://The meeting URL will be available shortly,[],"Jan 23, 2008 - Jan 26, 2008","Toulouse, France","Sep 1, 2007",,,
 5th Annual TALGS Conference  2008 : 5th Annual TALGS Conference,N/A,http://core.ecu.edu/engl/talgs,['linguistics'],"Feb 16, 2008 - Feb 16, 2008","Greenville, North Carolina, USA","Dec 9, 2007",,,
 Transmission and Diffusion  2008 : Transmission and Diffusion,N/A,N/A,[],"Jan 17, 2008 - Jan 19, 2008","Radboud University Nijmegen, Netherlands","Sep 1, 2007",,,
 VALSASLA Conference  2008 : Changing Societies,N/A,http://www.vals-asla.ch/cms/index.php?id=118,['linguistics'],"Feb 7, 2008 - Feb 9, 2008","Lugano, Switzerland","Sep 30, 2007",,,
 Comparing Diachronies  2008 : Comparing Diachronies (Workshop at DGfS 2008),N/A,N/A,['linguistics'],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Aug 20, 2007",,,
 Reclamation of Indigenous Languages  2008 : Conference on the Reclamation of Indigenous Languages,N/A,N/A,['linguistics'],"Feb 20, 2008 - Feb 22, 2008","Mashantucket, CT, USA","Aug 17, 2007",,,
 IMM  Affix Ordering  2008 : 13th International Morphology Meeting: Affix Ordering,N/A,http://www.wu-wien.ac.at/inst/roman/imm13/,[],"Feb 3, 2008 - Feb 6, 2008","Vienna, Austria","Aug 31, 2007",,,
 Spanish & Portuguese Second Language  2008 : Current Approaches to Spanish & Portuguese Second Language,N/A,http://spanport.cla.umn.edu/L2phonology,[],"Feb 22, 2008 - Feb 23, 2008","Minneapolis, MN, USA","Sep 15, 2007",,,
 Evidentiality in European Languages  2008 : Evidentiality in European Languages,N/A,N/A,['linguistics'],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Jul 31, 2007",,,
 EPS  2008 : Experimental Pragmatics/Semantics,N/A,http://www.zitatundbedeutung.uni-mainz.de/,[],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Sep 1, 2007",,,
 Gestures  2008 : Gestures: A Comparison of Signed and Spoken Languages,N/A,N/A,['linguistics'],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Aug 5, 2007",,,
 Non-Local Dependencies in Syntax  2008 : Local Modelling of Non-Local Dependencies in Syntax,N/A,http://www.uni-leipzig.de/~muellerg/lmnlds.html,['linguistics'],"Feb 27, 2008 - Feb 29, 2008","Universitaet Bamberg, Germany","Aug 15, 2007",,,
 Methodological Aspects of Intonation Research  2008 : Methodological Aspects of Intonation Research,N/A,N/A,['linguistics'],"Feb 27, 2008 - Feb 27, 2008","Bamberg, Germany","Aug 15, 2007",,,
" Linking Elements  2008 : Linking Elements - Origin, Change, Functionalization",N/A,http://www.wu-wien.ac.at/inst/roman/imm13/,[],"Feb 3, 2008 - Feb 6, 2008","Vienna, Austria","Sep 17, 2007",,,
 DGfS   AG  2008 : Human Universals as Constraints on Language Diversity,N/A,N/A,[],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Sep 1, 2007",,,
 GLOBENG  2008 : International Conference on Global English,N/A,http://profs.lingue.univr.it/globeng/index.html,"['linguistics', 'english']","Feb 14, 2008 - Feb 16, 2008","Verona, Italy","Sep 30, 2007",,,
 MVCLC  2008 : Morphological Variation and Change (Caucasus),N/A,N/A,[],"Feb 3, 2008 - Feb 6, 2008","Vienna, Austria","Sep 17, 2007",,,
 MAD  2008 : Multidisciplinary Approaches to Discourse 2008,N/A,http://www.hf.uio.no/ilos/forskning/konferanser/mad08/,"['linguistics', 'discourse']","Feb 20, 2008 - Feb 23, 2008","Oslo, Norway","Oct 1, 2007",,,
 MeDisc  2008 : Native and Non-Native English Mediated Discourse,N/A,http://profs.lingue.univr.it/globeng/satellite.html,"['linguistics', 'discourse', 'english']","Feb 14, 2008 - Feb 16, 2008","Verona, Italy","Sep 30, 2007",,,
 DGfS   AG  2008 : Non-native Entities and Structures,N/A,http://www.cl.uni-heidelberg.de/~holler/main.html,['linguistics'],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Aug 15, 2007",,,
 Rightward Movement  2008 : Rightward Movement in a Comparative Perspective,N/A,http://www.gwdg.de/~hwalker/events/dgfs.html,['linguistics'],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Aug 15, 2007",,,
 SW/TX PCA ACA  2008 : Southwest/Texas Popular and American Culture,N/A,N/A,['linguistics'],"Feb 13, 2008 - Feb 16, 2008","Albuquerque NM, USA","Nov 1, 2007",,,
" ATAM  2008 : The Acquisition of Tense, Aspect and Mood ",N/A,http://www.aston.ac.uk/lss/whatsnew/theacquisitionoftenseaspectandmoo/,"['linguistics', 'cognitive science']","Feb 9, 2008 - Feb 10, 2008","Birmingham, United Kingdom","Oct 15, 2007",,,
 NorConfClinLing  2008 : The First Nordic Conference of Clinical Linguistics,N/A,http://cc.joensuu.fi/linguistics/NorConfClinLing2008/,['linguistics'],"Feb 9, 2008 - Feb 10, 2008","Joensuu, Finland","Dec 3, 2007",,,
 Role of Phonology  2008 : The Role of Phonology in Reading Acquisition,N/A,N/A,"['linguistics', 'phonology', 'cognitive science']","Feb 28, 2008 - Feb 29, 2008","Bamberg, Germany","Jul 31, 2007",,,
 Topicality  2008 : Topicality,N/A,N/A,['linguistics'],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Aug 15, 2007",,,
 Tense Across Languages  2008 : Tense Across Languages,N/A,N/A,[],"Feb 27, 2008 - Feb 29, 2008","Bamberg, Germany","Sep 1, 2007",,,
 SIS  2008 : 4th International Conference of Hispanic Linguistics,N/A,http://www.sis.soton.ac.uk/events.html,[],"Mar 27, 2008 - Mar 29, 2008","Swansea University, Wales, United Kingdom","Aug 31, 2007",,,
 JADT  2008 : 9th International Conference on Statistical Analysis of,N/A,http://jadt.org,['linguistics'],"Mar 12, 2008 - Mar 14, 2008","Lyon, France","Oct 15, 2007",,,
 Conference on Youth and Language  2008 : Conference on Youth and Language,N/A,http://jugendsprache.hum.ku.dk,['linguistics'],"Mar 27, 2008 - Mar 29, 2008","Copenhagen, Denmark","Nov 1, 2007",,,
 CASLA  2008 : Cognitive Approaches to Second Language Acquisition,N/A,http://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=55144,[],"Mar 10, 2008 - Mar 13, 2008","University of Koblenz-Landau, Landau, Ge","Sep 1, 2007",,,
 Continuity and Change in Grammar  2008 : Continuity and Change in Grammar,N/A,N/A,['linguistics'],"Mar 18, 2008 - Mar 20, 2008","Cambridge, United Kingdom","Oct 1, 2007",,,
 EVOLANG  2008 : Evolution of Language: 7th International Conference,N/A,http://complex.ffn.ub.es/~evolang2008/,[],"Mar 11, 2008 - Mar 15, 2008","Barcelona, Spain","Sep 1, 2007",,,
 Filipino as a Global Language  2008 : Filipino as a Global Language,N/A,http://www.hawaii.edu/filipino/intlconf2008/,['linguistics'],"Mar 17, 2008 - Mar 19, 2008","Honolulu, Hawaii, USA","Aug 6, 2007",,,
 CISA  2008 : Contrastive Information Structure Analysis,N/A,http://www.cisa-2008.de,[],"Mar 18, 2008 - Mar 19, 2008","Wuppertal, Germany","Aug 31, 2007",,,
 Linguistics of Kango  2008 : Linguistics of Kango,N/A,http://crlao.ehess.fr/document.php?id=621,['linguistics'],"Mar 14, 2008 - Mar 15, 2008","Paris, France","Oct 15, 2007",,,
 GMF  2008 : GMF Jahreskongress 2008,N/A,http://www.uni-leipzig.de/gmf,['linguistics'],"Mar 27, 2008 - Mar 29, 2008","Leipzig, Sachsen, Germany","Oct 15, 2007",,,
 Movement and Word Order in Bantu  2008 : Movement and Word Order in Bantu,N/A,http://www.lucl.leidenuniv.nl/index.php3?m=9&c=541,['linguistics'],"Mar 7, 2008 - Mar 8, 2008","Leiden, Netherlands","Nov 1, 2007",,,
 XXIII EIAJL  2008 : XXIII Encuentro Internacional de la AJL,N/A,http://www.joveneslinguistas.org,['linguistics'],"Mar 26, 2008 - Mar 28, 2008","Girona, Spain","Dec 21, 2007",,,
 HELLEX  2008 : 2nd International Symposium on Historical English Lexis,N/A,N/A,"['linguistics', 'english']","Apr 25, 2008 - Apr 28, 2008","Helsinki - Lammi, Finland","Sep 30, 2007",,,
 BASEES  2008 : British Association for Slavonic and East European Studies,N/A,http://www.basees.org.uk/conference.html,['linguistics'],"Apr 5, 2008 - Apr 7, 2008","Cambridge, United Kingdom","Oct 1, 2007",,,
 Building Bridges in the City and Beyond  2008 : Building Bridges in the City and Beyond,N/A,http://www.umbc.edu/llc,[],"Apr 11, 2008 - Apr 12, 2008","Baltimore, MD, USA","Aug 31, 2007",,,
 XXVI AESLA International  2008 : From Applied Linguistics to the Linguistics of the Mind,N/A,http://www.aesla.uji.es/congreso,['linguistics'],"Apr 3, 2008 - Apr 5, 2008","Almería, Andalucía, Spain","Dec 1, 2007",,,
 Use of Language Analysis to  2008 : Sociolinguistic Issues in the Use of Language Analysis to,N/A,http://www.taalstudio.nl,['linguistics'],"Apr 3, 2008 - Apr 5, 2008","Amsterdam, Netherlands","Aug 1, 2007",,,
 CUSHOM  2008 : Fifth International Conference of Cushitic and Omotic,N/A,http://llacan.vjf.cnrs.fr/fichiers/cush-om/,['linguistics'],"Apr 16, 2008 - Apr 18, 2008","Paris - IDF, France","Oct 1, 2007",,,
 LPRC  2008 : Language Policy Research Center,N/A,http://www.biu.ac.il/hu/lprc,['linguistics'],"Apr 30, 2008 - Apr 30, 2008","Bar Ilan University, Ramat Gan, Israel","Feb 10, 2008",,,
" University Discourses  2008 : University Discourses: Forms, Practices, Transformations",N/A,N/A,[],"Apr 24, 2008 - Apr 26, 2008","Brussels, Belgium","Sep 15, 2007",,,
 IsCLL  2008 : 11th International Symposium on Chinese Languages and,N/A,N/A,['linguistics'],"May 23, 2008 - May 25, 2008","Hsinchu, Taiwan","Dec 10, 2007",,,
 ANLP at FLAIRS  2008 : Applied Natural Language Processing,N/A,http://www.msstate.edu/dept/english/applied_nlp/flairs_2008,['linguistics'],"May 15, 2008 - May 17, 2008","Miami, USA","Nov 21, 2007",,,
 DG  2008 : Between Discourse and Grammar,N/A,http://members.chello.be/gert.desutter1/,"['linguistics', 'discourse']","May 23, 2008 - May 24, 2008","Ghent, Belgium","Nov 1, 2007",,,
 Speech Prosody  2008 : Fourth Conference on Speech Prosody,N/A,http://www.sp2008.org,"['linguistics', 'speech']","May 6, 2008 - May 9, 2008","Campinas, Brazil","Nov 2, 2007",,,
 GLAC  2008 : Germanic Linguistics Annual Conference,N/A,http://mki.wisc.edu/GLAC/GLAC14.htm,['linguistics'],"May 1, 2008 - May 4, 2008","Madison, Wisconsin, USA","Jan 4, 2008",,,
 La variation co(n)textuelle en FLE  2008 : La variation co(n)textuelle en FLE,N/A,N/A,[],"May 28, 2008 - May 30, 2008","Helsinki, Finland","Sep 28, 2007",,,
 RaAM  2008 : Researching and Applying Metaphor,N/A,http://www.unex.es/eweb/raam7,['linguistics'],"May 29, 2008 - May 31, 2008","Cáceres, Spain","Dec 1, 2007",,,
 RSL  2008 : Repr�sentations du sens linguistique 4,N/A,N/A,[],"May 28, 2008 - May 30, 2008","Helsinki, Finland","Sep 28, 2007",,,
